stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\danis\source\repos\ConsoleApplication1\x64\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.30136] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.30176] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.30237] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.30248] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.30255] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.30265] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.30593] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.30625] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.30643] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.30666] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.30686] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.30704] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.30723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.30743] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.32345] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.33490] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.33799] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33896] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.33918] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.33939] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.33956] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.33974] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.33987] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.33999] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34010] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34021] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34032] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34042] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34052] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.34064] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.34074] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34086] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.34096] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34105] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.34113] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.34122] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.34130] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34147] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34158] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34166] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34176] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34183] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34190] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34198] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34207] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34216] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34224] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34233] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.34241] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34249] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.34267] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.34536] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
